time,flux
2882.3343792816468,115390.453125
2882.3570648413192,114972.421875
2882.3795189172915,115001.578125
2882.402204480226,115417.6640625
2882.424658558991,114757.234375
2882.4473441237865,114760.5078125
2882.469798204881,115200.0234375
2882.4924837724698,114993.40625
2882.515169340527,115047.25
2882.5376234248797,114801.390625
2882.5603089952638,114871.6171875
2882.5827630810145,114938.3828125
2882.605448653261,114814.609375
2882.627902740409,114831.4609375
2882.6505883140517,114956.5546875
2882.6732738881606,115011.53125
2882.695727977637,114737.5390625
2882.7184135526777,114848.1953125
2882.740867643085,114591.65625
2882.763553219057,115123.7734375
2882.7862387954933,115018.5078125
2882.8086928868333,115061.6796875
2882.8313784637357,114841.328125
2882.85383255554,114956.4140625
2882.876518132443,115169.4296875
2882.898972224248,115116.0390625
2882.921657801151,115200.96875
2882.944343378519,115146.9921875
2882.9667974698577,115214.1796875
2882.989483046762,114988.4609375
2883.0119371381,115314.6484375
2883.0346227140717,114905.0234375
2883.0570768049442,115379.5703125
2883.0797623804515,115308.9140625
2883.1024479559574,114865.0859375
2883.124902045433,114806.1484375
2883.147587620009,114074.875
2883.1700417080874,113636.390625
2883.1927272817306,113187.7265625
2883.215181369344,113266.4921875
2883.237866941591,113253.484375
2883.260552512906,115087.109375
2883.2830065986573,114789.21875
2883.3056921690413,115155.375
2883.328146253395,114917.2109375
2883.3508318219156,115480.1171875
2883.3735173904365,115245.28125
2883.3959714719977,115341.5390625
2883.4186570386555,115219.09375
2883.441111119284,115173.03125
2883.46379668408,115260.5703125
2883.4862507628463,115470.84375
2883.5089363257794,115333.765625
2883.531621888247,114798.703125
2883.5540759642195,115260.25
2883.5767615248233,115438.078125
2883.5992155989334,115178.0078125
2883.6219011572107,114867.5390625
2883.6443552299224,114830.078125
2883.667040786336,114758.796875
2883.68972634182,115118.625
2883.712180411272,114704.484375
2883.7348659648915,115049.9609375
2883.7573200324823,115074.953125
2883.7800055837743,115055.6953125
2883.802459649036,114920.140625
2883.825145198931,114918.3984375
2883.847830746963,115017.1484375
2883.87028480943,115417.625
2883.8929703556005,114973.1328125
2883.9154244157403,115058.4375
2883.938109960046,114998.09375
2883.960564017859,115397.6484375
2883.9832495598366,115139.8984375
2884.005935100884,115585.875
2884.0283891554363,114914.28125
2884.0510746941545,114933.546875
2884.0735287463785,114983.8671875
2884.0962142827684,115389.75
2884.118899818228,115081.7265625
2884.1413538676584,115063.8984375
2884.1640394003225,115346.375
2884.1864934474233,115134.5078125
2884.209178978227,115053.6640625
2884.2316330229996,115073.7734375
2884.2543185514733,115127.484375
2884.2770040790174,114841.3984375
2884.2994581200646,115014.03125
2884.3221436452804,114589.421875
2884.344597684464,115046.703125
2884.3672832073507,114038.4453125
2884.3897372437423,113558.9609375
2884.4124227642997,113475.5546875
2884.435108283927,113488.2109375
2884.4575623170585,113869.0625
2884.4802478343563,115192.5859375
2884.502701865161,115205.90625
2884.5253873801303,115326.8671875
2884.5478414086047,115121.125
2884.5705269212467,114846.1875
2884.593212432492,115378.8984375
2884.615666457708,115006.0625
2884.6383519666233,115182.046875
2884.6608059895098,115125.84375
2884.6834914960987,114806.765625
2884.7061770017553,115063.8359375
2884.728631021384,114979.1796875
2884.7513165242462,115033.546875
2884.773770541545,115020.265625
2884.7964560425453,114975.5703125
2884.8189100575155,114773.6484375
2884.841595555723,115143.1171875
2884.864281053463,115154.21875
2884.8867350647097,114944.6484375
2884.9094205596552,115196.1484375
2884.931874569038,115096.0390625
2884.9545600616575,115321.578125
2884.9770140687106,114720.609375
2884.999699559002,115109.2890625
2885.02238504836,115126.3671875
2885.0448390516904,115245.921875
2885.0675245382545,114913.7265625
2885.089978539721,115452.90625
2885.112664024424,114935.25
2885.135118023096,115123.8515625
2885.15780350547,114894.8203125
2885.180488986447,115113.7890625
2885.20294298186,115222.8046875
2885.2256284605082,114942.828125
2885.248082453594,114946.3125
2885.2707679303794,114986.0859375
2885.293221921136,115116.4921875
2885.3159073951274,115019.921875
