time,flux
3533.3970472343913,230813.234375
3533.417649767735,230612.875
3533.438020811322,230308.609375
3533.458623344199,230657.421875
3533.478994387321,230763.078125
3533.4995969192673,230571.640625
3533.5199679614584,230715.890625
3533.5405704924747,230847.25
3533.561173023024,230865.65625
3533.5815440638175,231022.859375
3533.602146593435,230689.34375
3533.622517633297,230769.875
3533.6431201615183,230668.0625
3533.6637226892744,230859.109375
3533.684093727273,230652.34375
3533.704696253632,230660.328125
3533.7250672907,230954.515625
3533.7456698156625,230641.15625
3533.7660408513343,230755.203125
3533.786643375364,230535.828125
3533.807245898463,230857.59375
3533.8276169318056,230670.328125
3533.848219453508,230483.328125
3533.8685904854533,231111.75
3533.889193005293,230799.625
3533.909795524666,230727.21875
3533.930166554284,230793.03125
3533.9507690722608,230862.546875
3533.971140100482,230947.78125
3533.991742616596,230882.78125
3534.012113642954,231091.4375
3534.032716157206,230953.0625
3534.0533186709904,231075.125
3534.0736896950207,230926.890625
3534.0942922069435,230794.265625
3534.1146632291097,230826.4375
3534.135265739638,230663.9375
3534.155868248767,230930.984375
3534.1762392686055,231039.75
3534.196841776337,231006.421875
3534.2172127943136,230647.46875
3534.2378153001823,230805.28125
3534.2581863162964,231068.25
3534.278788820303,231026.265625
3534.299391323379,230648.734375
3534.319762337165,230909.75
3534.340364838378,230909.140625
3534.3607358503,230898.453125
3534.381338350115,230747.34375
3534.4019408485347,230980.828125
3534.4223118576624,230894.390625
3534.442914354685,230816.390625
3534.463285361952,230852.265625
3534.483887857111,231036.015625
3534.5042588625142,231088.96875
3534.524861355811,231025.0
3534.545463848176,231022.265625
3534.5658348507845,230874.421875
3534.586437341288,230886.21875
3534.606808342501,230823.859375
3534.6274108311413,231008.6875
3534.6480133188493,230878.0
3534.6683843172677,230793.9375
3534.6889868031135,231203.609375
3534.709357799669,230985.375
3534.7299602836524,230744.953125
3534.750331278812,230965.40625
3534.7709337609335,230858.28125
3534.791536242588,230733.78125
3534.8119072344866,230927.078125
3534.8325097142792,230815.890625
3534.852880704316,230872.546875
3534.8734831822453,230768.359375
3534.894085659245,230819.375
3534.9144566469536,230828.1875
3534.935059122089,230904.046875
3534.9554301079347,230914.953125
3534.976032581207,230801.71875
3534.9964035651897,230823.734375
3535.0170060366017,230755.328125
3535.0376085075472,230888.6875
3535.057979488736,230591.1875
3535.0785819578173,230756.6875
3535.0989529376097,230917.171875
3535.119555404829,230840.296875
3535.140157871118,230936.71875
3535.160528848116,230742.5
3535.181131312542,230900.6875
3535.2015022881424,229482.828125
3535.222104750706,227419.1875
3535.2424757244435,227097.859375
3535.2630781851453,227210.75
3535.2836806453797,227186.59375
3535.3040516163232,228269.84375
3535.3246540751616,231050.53125
3535.345025044243,230899.796875
3535.365627500753,230910.421875
3535.386229956797,230616.421875
3535.4066009235507,230813.203125
3535.427203377731,230693.9375
3535.4475743426224,230940.09375
3535.4681767949405,230931.9375
3535.4885477584353,230718.96875
3535.5091502088912,230889.90625
3535.5297526588815,230609.640625
3535.550123619581,230694.578125
3535.5707260677077,230806.609375
3535.591097027011,230796.3125
3535.6116994737426,230880.484375
3535.6323019190763,230794.375
3535.652672875585,230887.453125
3535.6732753195215,230850.53125
3535.693646274633,230773.40625
3535.714248716708,231006.03125
3535.7346196704234,230734.21875
3535.7552221106334,230515.78125
3535.7758245503796,231077.46875
3535.7961955013,230696.9375
3535.81679793965,230892.453125
3535.837168888708,230886.28125
3535.857771325194,230807.671875
3535.8783737607487,230923.234375
3535.898744707478,230701.875
3535.9193471416374,230926.109375
3535.939718086504,230660.5
3535.9603205187996,230870.046875
3535.980691462269,230811.890625
3536.0012938931673,230942.984375
3536.021896323135,231063.25
3536.0422672642776,230888.3125
3536.062869692381,230665.359375
3536.08324063166,231012.78125
3536.103843058368,230988.84375
3536.1244454841444,230894.515625
3536.1448164210956,230787.0
3536.1654188454736,231013.390625
3536.185789781028,230971.359375
3536.206392203545,230950.890625
3536.2267631372365,231003.8125
3536.247365558356,231001.03125
3536.2679679785433,231046.34375
3536.2883389099075,230833.390625
3536.3089413286984,230986.265625
3536.3293122586647,230933.15625
3536.349914675592,231068.78125
3536.3705170915896,230965.6875
3536.390888019228,230689.796875
3536.411490433828,230692.828125
3536.4318613600685,230776.765625
3536.452463772806,230979.21875
3536.4728346971856,230899.59375
3536.493437108525,230781.765625
3536.5140395194,231015.90625
3536.5344104414494,230835.890625
3536.5550128504624,230853.0625
3536.5753837711154,230929.09375
3536.59598617873,231090.203125
3536.616588585414,230879.796875
3536.636959503273,230815.328125
3536.6575619085606,230794.515625
3536.6779328254875,231111.15625
3536.6985352289125,231126.0625
3536.7189061439767,231015.5
3536.7395085460057,230612.921875
3536.760110947566,230770.890625
3536.780481860303,230932.171875
3536.8010842600015,230909.59375
3536.8214551713427,230840.5625
3536.8420575691785,230900.15625
3536.8626599670147,230934.21875
3536.8830308760257,230980.8125
3536.903633271534,230927.421875
3536.9240041791495,230869.25
3536.944606573725,230877.375
3536.9649774794775,230710.609375
3536.985579872192,230963.203125
3537.0061822644398,231039.265625
3537.0265531678633,230966.34375
3537.047155558715,230991.34375
3537.067526460742,230654.546875
3537.08812884973,230827.90625
3537.1087312377877,230889.84375
3537.1291021379525,230924.59375
3537.149704524613,231058.203125
3537.1700754229137,231034.90625
3537.1906778081766,230887.34375
3537.2110487050822,230989.5
3537.231651088948,230863.078125
3537.2522534718833,230845.9375
3537.272624366459,231064.75
3537.2932267475326,230654.109375
3537.3135976411763,230854.765625
3537.3342000208527,230778.328125
3537.3548024000625,230994.59375
3537.3751732909136,230777.421875
3537.3957756687255,230865.890625
3537.4161465581797,230893.96875
3537.4367489341307,230697.453125
3537.4571198221865,230847.0
3537.47772219674,230920.53125
3537.498324570828,231066.5625
3537.5186954565575,231055.125
3537.5392978292466,230885.9375
3537.559668713578,230976.765625
3537.580271084407,231051.421875
3537.6008734543034,231134.96875
3537.621244336772,230993.6875
3537.6418467052727,230947.578125
3537.662217585879,231138.0625
3537.6828199529805,231023.453125
3537.70319083219,230934.671875
3537.723793197896,231079.90625
3537.7443955631365,231081.6875
3537.764766440017,230918.453125
3537.785368803395,231088.65625
3537.805739678879,230972.578125
3537.826342040859,231183.40625
3537.8469444023744,230946.1875
3537.8673152755296,231254.828125
3537.8879176356477,231050.65625
3537.9082885074067,231105.75
3537.928890865662,230923.515625
3537.9492617360233,230751.0625
3537.969864092881,230810.078125
3537.990466449274,230884.265625
3538.0108373173075,230912.859375
3538.031439672303,231075.078125
3538.0518105389397,231036.390625
3538.072412892073,230974.296875
3538.0930152447386,231050.65625
3538.1133861095136,231092.0
3538.133988460318,231031.3125
3538.1543593236947,231089.34375
3538.174961673103,231065.90625
3538.1953325350823,230939.921875
3538.2159348830933,230780.984375
3538.2365372301733,231240.171875
3538.2569080898247,230934.953125
3538.277510435971,231013.921875
3538.297881294227,230882.734375
3538.318483638512,231019.828125
3538.3388544953696,230888.0
3538.3594568382587,231014.421875
3538.3800591806807,230965.9375
3538.4004300352103,231211.28125
3538.421032376237,230876.1875
3538.4416347163306,230891.9375
3538.4622370559587,231116.4375
3538.4835338555426,230881.15625
